Date,B_Open,B_High,B_Low,B_Close,B_Volume,B_Value,B_weighted_Price,Inflation,DJ_Open,DJ_High,DJ_Low,DJ_Close,DJ_Adj_Close,DJ_Volume,Gold_Open,Gold_High,Gold_Low,Gold_Close,Fed
2011-09-13,5.8,6,5.65,5.97,58.37,346.1,5.93,3.9,11054.99,11140.85,10987.18,11105.85,11105.85,189980000,1823.9,1843.2,1812.8,1827.1,0.09
2011-09-14,5.58,5.72,5.52,5.53,61.15,341.85,5.59,3.9,11106.83,11386.78,10993.84,11246.73,11246.73,192600000,1835.6,1835.6,1811.3,1823.5,0.08
2011-09-15,5.12,5.24,5,5.13,80.14,408.26,5.09,3.9,11247.72,11433.4,11247.49,11433.18,11433.18,172080000,1801.8,1801.8,1773.3,1778.4,0.09
2011-09-16,4.82,4.87,4.8,4.85,39.91,193.76,4.85,3.9,11433.71,11532.47,11407.41,11509.09,11509.09,425900000,1770.3,1820,1770.3,1812.2,0.09
2011-09-17,4.87,4.87,4.87,4.87,0.3,1.46,4.87,3.9,11433.71,11532.47,11407.41,11509.09,11509.09,425900000,1770.3,1820,1770.3,1812.2,0.09
2011-09-18,4.87,4.92,4.81,4.92,119.81,579.84,4.84,3.9,11433.71,11532.47,11407.41,11509.09,11509.09,425900000,1770.3,1820,1770.3,1812.2,0.09
2011-09-19,4.9,4.9,4.9,4.9,20,98,4.9,3.9,11506.82,11506.82,11255.25,11401.01,11401.01,157580000,1817,1818,1770.5,1776.4,0.09
2011-09-20,4.92,5.66,4.92,5.66,89.28,481.05,5.39,3.9,11401.47,11550.22,11373.92,11408.66,11408.66,157060000,1789.5,1809.8,1781.5,1806.6,0.09
2011-09-21,5.7,5.79,5.66,5.66,17.63,100.59,5.71,3.9,11408.58,11447.86,11117.28,11124.84,11124.84,221860000,1797.2,1810.5,1780.1,1805.6,0.08
2011-09-22,5.68,5.72,5.68,5.72,43.78,249.4,5.7,3.9,11121.89,11122.12,10597.14,10733.83,10733.83,306170000,1753.5,1753.5,1708,1739.2,0.08
2011-09-23,5.7,5.72,5.7,5.72,20.68,118.02,5.71,3.9,10732.77,10808.49,10638.73,10771.48,10771.48,223140000,1693.5,1694.5,1627,1637.3,0.08
2011-09-24,5.7,5.76,5.68,5.68,90.59,518.38,5.72,3.9,10732.77,10808.49,10638.73,10771.48,10771.48,223140000,1693.5,1694.5,1627,1637.3,0.08
2011-09-25,6.05,6.05,6.05,6.05,12.22,73.93,6.05,3.9,10732.77,10808.49,10638.73,10771.48,10771.48,223140000,1693.5,1694.5,1627,1637.3,0.08
2011-09-26,6.06,6.06,4.8,4.8,39.58,236.8,5.98,3.9,10771.78,11057.49,10771.78,11043.86,11043.86,225620000,1626.6,1632.7,1588.2,1592.5,0.08
2011-09-27,4.85,4.92,4.85,4.92,24.35,119.23,4.9,3.9,11045.23,11369.3,11045.23,11190.69,11190.69,212700000,1666.7,1669.7,1643.7,1650.5,0.08
2011-09-28,4.9,4.91,4.82,4.82,83.05,403.85,4.86,3.9,11189.1,11317.08,10996.98,11010.9,11010.9,172410000,1657.4,1658.7,1589.2,1616.1,0.08
2011-09-29,4.81,4.82,4.81,4.82,46.96,226.2,4.82,3.9,11012.79,11271.14,10965.45,11153.98,11153.98,191340000,1631.1,1631.1,1604.9,1615.3,0.08
2011-10-03,4.85,4.87,4.83,4.87,30.58,148.23,4.85,3.5,10912.1,10979.19,10653.34,10655.3,10655.3,242870000,1646.4,1673.2,1645.2,1656,0.08
2011-10-04,4.86,5.3,4.8,4.98,142.52,701.88,4.92,3.5,10651.44,10825.44,10404.49,10808.71,10808.71,267440000,1670.5,1671.2,1596.2,1614.3,0.07
2011-10-05,4.92,6.25,4.8,4.92,113.72,571.95,5.03,3.5,10800.47,10950.89,10738.1,10939.95,10939.95,226440000,1629,1647,1605.2,1639.9,0.07
2011-10-06,4.88,4.99,4.8,4.8,170.84,838.64,4.91,3.5,10939.87,11132.6,10858.67,11123.33,11123.33,190030000,1647.5,1660.7,1632.2,1651.5,0.07
