"Date","Open","High","Low","Close"
"Oct 27, 2017","$1,279.01","$1,282.41","$1,265.10","$1,266.96"
"Oct 26, 2017","$1,276.76","$1,283.80","$1,271.39","$1,279.13"
"Oct 25, 2017","$1,282.08","$1,283.70","$1,272.10","$1,276.77"
"Oct 24, 2017","$1,277.87","$1,284.80","$1,272.64","$1,282.21"
"Oct 20, 2017","$1,280.39","$1,291.50","$1,276.80","$1,290.20"
"Oct 19, 2017","$1,285.93","$1,288.70","$1,277.10","$1,280.30"
"Oct 18, 2017","$1,295.79","$1,295.79","$1,281.50","$1,285.66"
"Oct 17, 2017","$1,302.06","$1,306.10","$1,291.00","$1,295.80"
"Oct 13, 2017","$1,294.06","$1,303.90","$1,291.40","$1,303.90"
"Oct 12, 2017","$1,291.74","$1,297.45","$1,289.96","$1,294.42"
"Oct 11, 2017","$1,289.23","$1,298.80","$1,284.70","$1,292.34"
"Oct 10, 2017","$1,284.32","$1,294.20","$1,282.28","$1,289.23"
"Oct 09, 2017","$1,276.79","$1,286.40","$1,275.41","$1,283.90"
"Oct 06, 2017","$1,268.68","$1,276.54","$1,260.80","$1,276.46"
"Oct 05, 2017","$1,272.33","$1,282.16","$1,271.09","$1,274.79"
"Oct 04, 2017","$1,271.93","$1,274.57","$1,268.48","$1,272.51"
"Oct 03, 2017","$1,277.98","$1,278.71","$1,269.90","$1,271.84"
"Sep 29, 2017","$1,283.85","$1,288.74","$1,277.90","$1,287.32"
"Sep 28, 2017","$1,294.08","$1,296.13","$1,281.10","$1,283.57"
"Sep 27, 2017","$1,308.52","$1,313.52","$1,292.98","$1,294.57"
"Sep 26, 2017","$1,293.55","$1,311.50","$1,291.05","$1,308.64"
"Sep 22, 2017","$1,301.10","$1,301.33","$1,288.40","$1,291.92"
"Sep 20, 2017","$1,311.08","$1,315.91","$1,296.52","$1,301.07"
"Sep 19, 2017","$1,308.24","$1,315.50","$1,305.74","$1,310.87"
"Sep 18, 2017","$1,317.51","$1,319.71","$1,304.87","$1,307.91"
"Sep 15, 2017","$1,333.46","$1,334.32","$1,320.17","$1,320.19"
"Sep 14, 2017","$1,323.16","$1,333.58","$1,316.30","$1,333.58"
"Sep 13, 2017","$1,331.96","$1,334.61","$1,320.90","$1,322.90"
"Sep 12, 2017","$1,328.99","$1,333.76","$1,323.05","$1,332.13"
"Sep 11, 2017","$1,335.40","$1,339.02","$1,326.65","$1,328.90"
"Sep 08, 2017","$1,333.64","$1,349.78","$1,332.72","$1,347.56"
"Sep 07, 2017","$1,341.32","$1,342.40","$1,332.25","$1,333.80"
"Sep 06, 2017","$1,333.79","$1,344.12","$1,328.40","$1,341.60"
"Sep 05, 2017","$1,335.18","$1,339.11","$1,331.30","$1,333.84"
"Sep 01, 2017","$1,308.49","$1,323.60","$1,301.09","$1,320.77"
"Aug 31, 2017","$1,311.82","$1,313.43","$1,305.29","$1,308.62"
"Aug 30, 2017","$1,318.00","$1,325.99","$1,298.40","$1,311.84"
"Aug 29, 2017","$1,292.86","$1,322.24","$1,292.09","$1,317.76"
"Aug 25, 2017","$1,285.88","$1,293.64","$1,279.41","$1,291.05"
"Aug 24, 2017","$1,290.96","$1,291.26","$1,285.09","$1,285.92"
"Aug 23, 2017","$1,284.01","$1,291.14","$1,282.90","$1,290.75"
"Aug 22, 2017","$1,291.29","$1,292.20","$1,283.02","$1,283.99"
"Aug 21, 2017","$1,282.53","$1,293.25","$1,281.20","$1,290.86"
"Aug 18, 2017","$1,288.82","$1,300.70","$1,283.69","$1,284.50"
"Aug 17, 2017","$1,283.79","$1,289.93","$1,282.17","$1,288.86"
"Aug 16, 2017","$1,272.07","$1,284.18","$1,268.40","$1,283.95"
"Aug 15, 2017","$1,288.48","$1,289.59","$1,278.73","$1,280.96"
"Aug 11, 2017","$1,277.02","$1,287.66","$1,242.50","$1,286.72"
"Aug 10, 2017","$1,262.28","$1,278.46","$1,261.53","$1,276.91"
"Aug 09, 2017","$1,257.58","$1,265.24","$1,251.73","$1,262.10"
"Aug 08, 2017","$1,257.96","$1,260.00","$1,255.85","$1,257.48"
"Aug 04, 2017","$1,264.67","$1,270.89","$1,259.47","$1,268.84"
"Aug 03, 2017","$1,268.90","$1,272.72","$1,263.03","$1,266.31"
"Aug 02, 2017","$1,268.91","$1,274.01","$1,263.56","$1,268.88"
"Jul 31, 2017","$1,269.83","$1,270.72","$1,266.10","$1,269.52"
"Jul 28, 2017","$1,259.40","$1,270.75","$1,257.51","$1,269.62"
"Jul 27, 2017","$1,261.22","$1,265.19","$1,255.16","$1,259.50"
"Jul 26, 2017","$1,249.78","$1,262.80","$1,244.08","$1,261.50"
"Jul 25, 2017","$1,255.09","$1,257.74","$1,249.00","$1,249.53"
"Jul 24, 2017","$1,254.09","$1,258.79","$1,252.16","$1,254.90"
"Jul 21, 2017","$1,241.74","$1,247.48","$1,235.41","$1,244.58"
"Jul 20, 2017","$1,242.70","$1,243.90","$1,236.17","$1,241.74"
"Jul 19, 2017","$1,234.40","$1,244.40","$1,232.93","$1,242.42"
"Jul 18, 2017","$1,230.40","$1,235.93","$1,229.47","$1,234.42"
"Jul 14, 2017","$1,219.23","$1,224.50","$1,216.88","$1,217.72"
"Jul 13, 2017","$1,217.41","$1,225.60","$1,214.92","$1,219.34"
"Jul 12, 2017","$1,214.91","$1,217.85","$1,208.40","$1,217.22"
"Jul 11, 2017","$1,213.09","$1,215.28","$1,205.16","$1,214.40"
"Jul 06, 2017","$1,227.45","$1,228.33","$1,222.79","$1,225.11"
"Jul 05, 2017","$1,225.09","$1,229.15","$1,217.66","$1,227.71"
"Jul 04, 2017","$1,222.18","$1,226.32","$1,220.81","$1,225.05"
"Jul 03, 2017","$1,241.63","$1,242.13","$1,218.00","$1,222.48"
"Jun 30, 2017","$1,246.28","$1,248.20","$1,240.00","$1,241.57"
"Jun 29, 2017","$1,250.45","$1,253.11","$1,239.90","$1,246.71"
"Jun 28, 2017","$1,248.38","$1,254.14","$1,248.00","$1,250.65"
"Jun 27, 2017","$1,242.92","$1,252.96","$1,241.48","$1,248.43"
"Jun 26, 2017","$1,257.62","$1,257.97","$1,237.09","$1,242.73"
"Jun 23, 2017","$1,248.11","$1,254.71","$1,246.98","$1,252.33"
"Jun 22, 2017","$1,244.76","$1,247.85","$1,241.55","$1,247.00"
"Jun 21, 2017","$1,244.26","$1,260.90","$1,241.80","$1,244.93"
"Jun 20, 2017","$1,255.08","$1,255.53","$1,243.10","$1,243.99"
"Jun 16, 2017","$1,263.16","$1,266.47","$1,251.80","$1,254.83"
"Jun 15, 2017","$1,266.86","$1,281.40","$1,257.47","$1,262.89"
"Jun 14, 2017","$1,265.43","$1,268.95","$1,259.76","$1,266.82"
"Jun 13, 2017","$1,266.97","$1,270.23","$1,263.90","$1,265.59"
"Jun 09, 2017","$1,277.63","$1,280.10","$1,265.13","$1,266.68"
"Jun 08, 2017","$1,287.00","$1,288.92","$1,271.83","$1,277.76"
"Jun 07, 2017","$1,293.77","$1,294.24","$1,282.78","$1,287.29"
"Jun 06, 2017","$1,280.38","$1,295.82","$1,279.80","$1,294.32"
"Jun 05, 2017","$1,280.76","$1,283.28","$1,277.89","$1,280.11"
"Jun 02, 2017","$1,265.61","$1,279.56","$1,259.82","$1,279.07"
"Jun 01, 2017","$1,261.89","$1,275.50","$1,259.70","$1,269.16"
"May 31, 2017","$1,267.30","$1,270.50","$1,259.90","$1,261.90"
"May 30, 2017","$1,267.82","$1,268.76","$1,265.47","$1,267.23"
"May 26, 2017","$1,257.57","$1,259.68","$1,254.10","$1,255.98"
"May 25, 2017","$1,252.27","$1,259.15","$1,248.02","$1,257.59"
"May 24, 2017","$1,261.90","$1,263.85","$1,250.80","$1,252.34"
"May 23, 2017","$1,257.30","$1,262.63","$1,251.90","$1,261.57"
"May 19, 2017","$1,260.88","$1,264.92","$1,246.50","$1,247.18"
"May 17, 2017","$1,237.66","$1,263.06","$1,237.66","$1,261.58"
"May 16, 2017","$1,231.37","$1,238.97","$1,230.55","$1,237.98"
"May 15, 2017","$1,229.36","$1,237.09","$1,227.23","$1,231.27"
"May 12, 2017","$1,225.22","$1,231.77","$1,224.57","$1,228.45"
"May 11, 2017","$1,218.90","$1,227.09","$1,217.80","$1,225.27"
"May 10, 2017","$1,223.80","$1,225.63","$1,217.76","$1,218.87"
"May 09, 2017","$1,227.66","$1,228.65","$1,210.50","$1,223.90"
"May 08, 2017","$1,227.30","$1,236.61","$1,226.01","$1,226.64"
"May 05, 2017","$1,237.78","$1,241.34","$1,225.94","$1,228.14"
"May 04, 2017","$1,256.50","$1,256.84","$1,236.85","$1,238.20"
"May 03, 2017","$1,256.02","$1,257.71","$1,252.33","$1,256.52"
"May 02, 2017","$1,270.91","$1,271.17","$1,254.40","$1,256.53"
"Apr 28, 2017","$1,268.45","$1,268.45","$1,261.74","$1,264.32"
"Apr 27, 2017","$1,263.62","$1,272.20","$1,260.63","$1,268.33"
